Scenario - face_house_1b_LL
Logfile written - 7/3/2006 5:07:00 PM

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
116	Picture	43	787714	0	1	1236	941	0	next
117	Picture	fixation	788950	0	940	11217	942	0	next
118	Picture	fixation	800167	0	2	1282	943	0	next
119	Picture	fixation	801449	0	941	11171	943	0	next
120	Picture	43	812620	0	2	1329	4	0	next
121	Picture	fixation	813949	0	2	11456	5	0	next
122	Picture	fixation	825405	0	3	1163	5	0	next
123	Picture	fixation	826568	0	2	11125	4	0	next
124	Picture	44	837693	0	2	1328	4	0	next
125	Picture	fixation	839021	0	2	11125	4	0	next
126	Picture	fixation	850146	0	2	1329	3	0	next
127	Picture	fixation	851475	0	1	11124	4	0	next
128	Picture	44	862599	0	3	1329	5	0	next
129	Picture	fixation	863928	0	2	11291	4	0	next
130	Picture	43	875219	0	2	1329	3	0	next
131	Picture	fixation	876548	0	1	11124	3	0	next
132	Picture	43	887672	0	2	1329	3	0	next
133	Picture	fixation	889001	0	1	11125	2	0	next
134	Picture	fixation	900126	0	1	1320	941	0	next
135	Picture	fixation	901446	0	940	11299	942	0	next
136	Picture	43	912745	0	2	1329	3	0	next
137	Picture	fixation	914074	0	1	11125	2	0	next
138	Picture	44	925199	0	1	1328	2	0	next
139	Picture	fixation	926527	0	1	11125	2	0	next
140	Picture	fixation	937652	0	1	1328	3	0	next
141	Picture	fixation	938980	0	2	11623	4	0	next
142	Picture	41	950603	0	2	831	3	0	next
143	Picture	fixation	951434	0	1	11291	2	0	next
144	Response	200	955863	-6862	3
144	Picture	42	962725	0	1	1328	3	0	next
145	Picture	fixation	964053	0	2	11291	4	0	next
146	Response	200	966757	-8587	783
146	Picture	41	975344	0	2	1162	4	0	next
147	Picture	fixation	976506	0	2	11125	4	0	next
148	Response	200	980038	-7593	941
148	Picture	43	987631	0	2	1329	3	0	next
149	Picture	fixation	988960	0	1	11623	2	0	next
150	Picture	43	1000583	0	1	830	2	0	next
151	Picture	fixation	1001413	0	1	11955	3	0	next
152	Picture	fixation	1013368	0	2	664	4	0	next
153	Picture	fixation	1014032	0	2	11790	3	0	next
154	Picture	43	1025822	0	1	664	2	0	next
155	Picture	fixation	1026486	0	1	12121	3	0	next
156	Picture	42	1038607	0	2	332	4	0	next
157	Picture	fixation	1038939	0	2	12121	4	0	next
158	Response	200	1043786	-7274	939
158	Picture	fixation	1051060	0	2	498	4	0	next
159	Picture	fixation	1051558	0	2	11790	3	0	next
160	Picture	fixation	1063348	0	1	664	2	0	next
161	Picture	fixation	1064012	0	1	11125	2	0	next
162	Picture	44	1075137	0	1	1328	3	0	next
163	Picture	fixation	1076465	0	2	11125	4	0	next
164	Picture	fixation	1087590	0	2	1328	4	0	next
165	Picture	fixation	1088918	0	2	11292	3	0	next
166	Picture	44	1100210	0	1	1494	2	0	next
167	Picture	fixation	1101704	0	1	11291	2	0	next
168	Picture	fixation	1112995	0	1	1162	4	0	next
169	Picture	fixation	1114157	0	3	11955	5	0	next
170	Picture	fixation	1126112	0	2	1163	5	0	next
171	Picture	fixation	1127275	0	3	10461	4	0	next
172	Picture	41	1137736	0	1	1203	628	0	next
173	Picture	fixation	1138939	0	627	11416	629	0	next
174	Response	200	1142689	-7666	939
174	Picture	fixation	1150355	0	2	1162	4	0	next
175	Picture	fixation	1151517	0	2	11291	4	0	next
176	Picture	43	1162808	0	2	1130	317	0	next
177	Picture	fixation	1163938	0	315	11157	317	0	next
178	Picture	43	1175095	0	2	1329	3	0	next
179	Picture	fixation	1176424	0	1	11291	3	0	next
180	Picture	fixation	1187715	0	2	1328	4	0	next
181	Picture	fixation	1189043	0	2	11125	4	0	next
182	Picture	44	1200168	0	2	1329	3	0	next
183	Picture	fixation	1201497	0	1	12121	2	0	next
184	Picture	fixation	1213618	0	1	1162	4	0	next
185	Picture	fixation	1214780	0	3	10461	5	0	next
186	Picture	fixation	1225241	0	2	1328	4	0	next
187	Picture	fixation	1226569	0	2	11125	4	0	next
188	Picture	44	1237694	0	2	1495	3	0	next
189	Picture	fixation	1239189	0	1	10959	2	0	next
190	Picture	43	1250148	0	1	1826	3	0	next
191	Picture	fixation	1251974	0	2	10627	3	0	next
192	Picture	fixation	1262601	0	1	1826	3	0	next
193	Picture	fixation	1264427	0	2	10793	4	0	next
194	Picture	41	1275220	0	2	2159	4	0	next
195	Picture	fixation	1277379	0	2	10295	3	0	next
196	Response	200	1278778	-8896	939
196	Picture	42	1287674	0	1	1328	3	0	next
197	Picture	fixation	1289002	0	2	11124	5	0	next
198	Response	200	1292607	-7519	3
198	Picture	fixation	1300126	0	3	1329	5	0	next
199	Picture	fixation	1301455	0	2	12122	3	0	next
200	Picture	fixation	1313577	0	1	498	2	0	next
201	Picture	fixation	1314075	0	1	11125	2	0	next
202	Picture	43	1325200	0	1	1328	3	0	next
203	Picture	fixation	1326528	0	2	11789	4	0	next
204	Picture	43	1338317	0	2	664	4	0	next
205	Picture	fixation	1338981	0	2	11624	3	0	next
206	Picture	44	1350605	0	1	830	2	0	next
207	Picture	fixation	1351435	0	1	11789	2	0	next
208	Picture	41	1363224	0	1	830	3	0	next
209	Picture	fixation	1364054	0	2	11955	4	0	next
210	Response	200	1368755	-7254	2
210	Picture	44	1376009	0	2	499	3	0	next
211	Picture	fixation	1376508	0	1	11123	4	0	next
212	Picture	43	1387631	0	3	1330	4	0	next
213	Picture	fixation	1388961	0	1	11623	3	0	next
214	Picture	44	1400584	0	2	1162	4	0	next
215	Picture	fixation	1401746	0	2	11291	4	0	next
216	Picture	fixation	1413037	0	2	997	3	0	next
217	Picture	fixation	1414034	0	1	11789	2	0	next
218	Picture	42	1425823	0	1	1328	3	0	next
219	Picture	fixation	1427151	0	2	10461	3	0	next
220	Response	200	1430344	-7268	3
220	Picture	44	1437612	0	1	1328	3	0	next
221	Picture	fixation	1438940	0	2	11955	4	0	next
222	Picture	44	1450895	0	2	1163	3	0	next
223	Picture	fixation	1452058	0	1	10959	2	0	next
224	Picture	41	1463017	0	1	1328	3	0	next
225	Picture	fixation	1464345	0	2	10792	5	0	next
226	Response	200	1467366	-7771	939
226	Picture	43	1475137	0	3	1291	631	0	next
227	Picture	fixation	1476428	0	628	11993	630	0	next
228	Picture	43	1488421	0	2	1163	3	0	next
229	Picture	fixation	1489584	0	1	11291	2	0	next
230	Picture	41	1500875	0	1	1328	3	0	next
231	Picture	fixation	1502203	0	2	10461	4	0	next
232	Response	200	1505177	-7487	939
232	Picture	42	1512664	0	2	1328	4	0	next
233	Picture	fixation	1513992	0	2	11456	5	0	next
